Date,Open,High,Low,Close
06-04-2005,178.38,181,178.38,180.17
07-04-2005,180.13,181.25,177.75,178.15
08-04-2005,178.84,179.36,173.76,174.2
11-04-2005,174.63,175,170.01,170.45
12-04-2005,174.88,174.88,170.63,172.75
13-04-2005,174.25,175.88,173.2,175.2
15-04-2005,174.38,174.38,164.38,164.88
18-04-2005,162.5,168.59,161.38,164.83
19-04-2005,166.25,168.61,147.26,151.09
20-04-2005,150,150,136.66,139.52
21-04-2005,140.63,143.5,138.75,142.8
22-04-2005,145,146.46,142.53,145.85
25-04-2005,145.6,145.99,143.5,144.62
26-04-2005,144.63,145.48,141.76,142.09
27-04-2005,142.64,142.64,138.88,139.46
28-04-2005,139.39,141.25,137.15,139.35
29-04-2005,141.1,143.09,139.63,141.39
02-05-2005,143.75,147.25,139.76,141.11
03-05-2005,141.25,141.88,138.17,138.57
04-05-2005,138.31,140.56,138.31,140.11
05-05-2005,143.74,143.75,140.7,142.11
06-05-2005,142.5,146.46,141.52,145.94
09-05-2005,146.25,147.78,145.78,146.91
10-05-2005,147.25,147.25,143.28,144.06
11-05-2005,143.5,144.07,142.24,143.64
12-05-2005,144.88,145.21,142.9,143.35
13-05-2005,143.63,143.88,142.52,143.57
16-05-2005,143.13,144.86,142.78,144.29
17-05-2005,145.14,145.59,143.05,143.82
18-05-2005,144.25,144.25,140.38,142.84
19-05-2005,144.18,146.5,144.15,145.31
20-05-2005,145.63,146.84,143.4,146.21
23-05-2005,146.25,154.36,146.25,152.98
24-05-2005,155.59,155.59,150.66,154.36
25-05-2005,153.71,158.68,151.88,157.57
26-05-2005,157.25,162,156.4,161.26
27-05-2005,160.38,162.38,156.91,158.65
30-05-2005,158.65,166.63,158,164.89
31-05-2005,165,167.86,163.2,166.78
01-06-2005,166.25,166.25,162.2,163.06
02-06-2005,163.5,163.63,158.14,158.57
03-06-2005,158.57,162.09,157.63,161.65
06-06-2005,161.88,162.71,158.79,160.05
07-06-2005,161.1,161.1,158.63,159.71
08-06-2005,160,162,159.51,161.51
09-06-2005,161.75,162.38,158.92,159.66
10-06-2005,160,162.5,157.64,158.27
13-06-2005,159.38,160.38,157.52,158.96
14-06-2005,159.63,159.99,157.52,158.26
15-06-2005,158.72,159.74,158.29,159.02
16-06-2005,159.73,160.99,158.11,159.71
17-06-2005,160.34,160.81,157.89,158.46
20-06-2005,159.38,162.74,158.79,161.99
21-06-2005,162.5,164.05,160.41,163.14
22-06-2005,163.63,167.38,163.63,166.67
23-06-2005,166.25,167.22,163.13,163.43
24-06-2005,162.5,167.29,161.88,165.72
27-06-2005,164.96,166.63,163.5,164.56
28-06-2005,164.75,166,164.26,165.45
29-06-2005,165.63,169.74,165.27,166.57
30-06-2005,167.35,170.63,167.35,169.76
01-07-2005,168.75,169.59,167.54,169.05
04-07-2005,169.85,171.49,166.38,169.88
05-07-2005,171.22,171.22,164.07,165.02
06-07-2005,165.75,166.57,164.52,165.39
07-07-2005,165.39,167.5,162.91,163.71
08-07-2005,163.82,166.18,161.7,163.89
11-07-2005,163.89,166.25,163.89,165.76
12-07-2005,164.82,165.13,159.04,160.74
13-07-2005,160.63,162.5,158.38,158.85
14-07-2005,159.83,160.96,152.04,153.13
15-07-2005,153.88,157.74,151.88,156.06
18-07-2005,156.5,184.88,156.5,165.27
19-07-2005,168.55,169.75,157.5,164.9
20-07-2005,166.88,166.88,163.15,163.53
21-07-2005,165.13,165.13,160,161.29
22-07-2005,160.63,162.23,158.8,161.74
25-07-2005,162.07,162.79,159.4,160.54
26-07-2005,160.73,161.5,157.5,158.16
27-07-2005,158.13,161,158.13,160.56
29-07-2005,159.38,161.25,157.75,158.6
01-08-2005,158.38,159.38,155.33,156.52
02-08-2005,161.5,162.25,157.25,161.29
03-08-2005,162.19,163.43,160.38,162.6
04-08-2005,163.13,164.98,161,161.91
05-08-2005,162.5,163.5,159.65,160.68
08-08-2005,161.25,161.25,158.41,160.38
09-08-2005,159.38,160.88,158,160.55
10-08-2005,160.71,164.58,160.71,164.13
11-08-2005,164.58,166.13,163.32,164.11
12-08-2005,166.05,166.05,159.45,160.36
16-08-2005,161.25,161.25,158.13,158.63
17-08-2005,160,162.75,157.66,162.4
18-08-2005,163.38,165.63,163.16,164.21
19-08-2005,164.38,166.5,163.89,165.67
22-08-2005,165.63,168.55,155.63,164.73
23-08-2005,165.88,166.33,164.13,164.51
24-08-2005,164.51,164.75,160.5,161.96
25-08-2005,163.13,166.25,162.5,165.46
26-08-2005,166.06,171.25,165.63,170.6
29-08-2005,171.25,172.25,166.25,169.42
30-08-2005,169.46,173.88,169.46,173.04
31-08-2005,172.6,176.92,172.5,175.61
01-09-2005,176.23,179.25,176.13,178.03
02-09-2005,178.75,180,176.88,178.4
05-09-2005,180,183.36,175.79,176.28
06-09-2005,176.88,177.49,173.5,174.81
08-09-2005,175,176.88,174.41,175.76
09-09-2005,168.88,176.75,168.88,173.99
12-09-2005,178.63,204.75,175.81,178.77
13-09-2005,178.88,178.88,176.32,177.8
14-09-2005,177.5,178.38,173.38,175.02
15-09-2005,175.25,181.85,175.25,181.24
16-09-2005,181.85,184.71,179.52,182.2
19-09-2005,184.71,185,180.38,181.77
20-09-2005,181.88,185,177.5,183.81
21-09-2005,184.25,184.5,175,181.71
22-09-2005,184.5,185.88,174.63,175.18
23-09-2005,175.04,178.73,175.04,176.56
26-09-2005,177.5,184.13,177,183.24
27-09-2005,184.38,185.13,180.79,182.79
28-09-2005,183,184.36,180.88,183.69
29-09-2005,185,186.8,183.13,184.11
30-09-2005,185,186.48,183.03,185.29
03-10-2005,181.93,188.11,181.93,187.24
04-10-2005,187.48,187.75,185.41,186.22
05-10-2005,185.5,186.13,183.13,183.75
06-10-2005,183.13,183.13,177.15,178.08
07-10-2005,178.13,181.75,176.9,180.6
10-10-2005,181.23,184.38,180.41,181.06
11-10-2005,182.5,184.35,177.75,183.47
13-10-2005,183.75,185.63,178.79,180.16
14-10-2005,181.25,181.5,176.88,178.01
17-10-2005,178.75,180.25,177.99,179.27
18-10-2005,180.25,183.1,178.89,180.12
19-10-2005,182.49,182.5,171.52,175.2
20-10-2005,176.89,179.38,173.88,177.04
21-10-2005,178.63,179.6,176.13,178.53
24-10-2005,179.02,180.5,175.13,175.94
25-10-2005,177.29,181.38,176.06,180
26-10-2005,180,180.63,177.39,177.78
27-10-2005,177.88,178.61,173.75,175.16
28-10-2005,176.13,176.13,169.38,170.27
31-10-2005,170.63,176,170.04,175.16
02-11-2005,175.16,179.5,173.55,178.63
07-11-2005,176,183.46,176,183.1
08-11-2005,184.25,185.53,183.8,184.63
09-11-2005,184.63,185.38,181.28,182.1
10-11-2005,182.13,184.61,182.13,183.72
11-11-2005,183.13,186,183.13,185.33
14-11-2005,186.25,189.33,186.25,188.79
16-11-2005,188.91,189.63,187.78,188.96
17-11-2005,187.5,189.75,186.56,188.46
18-11-2005,189,191.38,189,190.87
21-11-2005,191.18,192.34,188.25,189.83
22-11-2005,189.25,190.6,186,187.48
23-11-2005,187.5,190.25,187.38,189.58
24-11-2005,189.5,191.65,189.5,190.53
25-11-2005,190.53,192.5,188.79,191.71
28-11-2005,192.35,193.75,192,193.46
29-11-2005,193.1,193.75,190.07,193.17
30-11-2005,191.5,194.06,189.38,190.14
01-12-2005,190,194.33,189.85,193.76
02-12-2005,194.33,196.8,192.63,193.75
05-12-2005,194,194.26,190.78,191.42
06-12-2005,191.88,196.25,190.79,194.25
07-12-2005,195.25,200,195.04,199.45
08-12-2005,199.38,203.09,199.03,202.07
09-12-2005,202.25,211.82,201.41,210.34
12-12-2005,206.29,213.13,205.25,206.27
13-12-2005,206.5,209.75,205.63,208.45
14-12-2005,207.5,212.5,205,210.49
15-12-2005,211.24,212.31,208.55,210.35
16-12-2005,211.25,215.75,210.38,214.3
19-12-2005,215.75,219.13,214.63,216.82
20-12-2005,218.75,218.75,210.88,211.69
21-12-2005,213.13,214.32,208.88,210.76
22-12-2005,211.25,212.46,209.87,210.59
23-12-2005,210.88,213.13,208.13,208.97
26-12-2005,209.25,209.25,207.03,207.86
27-12-2005,207.85,212.88,205.38,212.27
28-12-2005,211.88,213.75,209.58,210.71
29-12-2005,211.25,214.99,210.21,213.76
30-12-2005,210,214.99,210,212.86
02-01-2006,213.5,213.86,210.17,210.95
03-01-2006,210.66,217.49,210.25,216.65
04-01-2006,217.5,218.74,215.27,217.89
05-01-2006,218.13,218.25,215.24,216.54
06-01-2006,216.88,217.49,211.5,213.2
09-01-2006,213.77,216.25,210.13,211.12
10-01-2006,211.25,212.48,207.63,209.06
12-01-2006,206.63,211.13,201.88,209.21
13-01-2006,210,211.25,205.5,206.47
16-01-2006,206.38,206.38,200.32,201.1
17-01-2006,201.38,205,201.25,202.93
18-01-2006,202.27,202.98,200.26,202.45
19-01-2006,202.98,206.84,202.98,206.29
20-01-2006,206.88,208.73,204.38,205.5
23-01-2006,204.38,204.38,201.41,202.77
24-01-2006,204.38,206.13,203.8,205.32
25-01-2006,206.13,207.49,205.44,206.4
27-01-2006,210,210,206.32,207.4
30-01-2006,208.18,209.95,206.51,207.36
31-01-2006,209.95,209.95,206.54,208.8
01-02-2006,207,209.75,206.3,208.33
02-02-2006,208.75,209.5,203.71,204.6
03-02-2006,204.99,205.98,201.55,203.85
06-02-2006,203.74,210.38,203.29,209.88
07-02-2006,210,211.69,205.53,209.26
08-02-2006,208.25,209.01,206.54,207.81
10-02-2006,208.77,209.75,205.63,208.7
13-02-2006,208.7,208.75,206,206.38
14-02-2006,208.75,208.75,201.75,202.32
15-02-2006,205.99,205.99,200.63,202.42
16-02-2006,203.13,204.98,201.5,203.65
17-02-2006,206.25,207.05,202.5,203.13
20-02-2006,204.88,206.88,203.43,206.23
21-02-2006,206.88,208.88,206.39,208.25
22-02-2006,208.75,208.75,206.41,207.73
23-02-2006,207.5,211.24,207.5,208.82
24-02-2006,208.78,210,207.04,208.76
27-02-2006,208.38,211.88,208.3,211.29
